"","site.name","month","monthly_mean_pm2.5_2022_from_pm2.5","mean_pm2.5_2022_from2.5","monthly_mean_pm2.5_2023_from_pm2.5","mean_pm2.5_2023_from2.5"
"288","Great River Bluffs","December",5.61818181818182,4.6801652892562,NA,5.625
"289","St. Michael Elementary School","January",7.1,5.97335243553009,11.0695652173913,10.2178362573099
"290","St. Michael Elementary School","February",7.17857142857143,5.97335243553009,7.87142857142857,10.2178362573099
"291","St. Michael Elementary School","March",5.10967741935484,5.97335243553009,7.27586206896552,10.2178362573099
"292","St. Michael Elementary School","April",3.58666666666667,5.97335243553009,6.52962962962963,10.2178362573099
"293","St. Michael Elementary School","May",2.99354838709677,5.97335243553009,9.89310344827586,10.2178362573099
"294","St. Michael Elementary School","June",4.1,5.97335243553009,21.4366666666667,10.2178362573099
"295","St. Michael Elementary School","July",4.62758620689655,5.97335243553009,11.9516129032258,10.2178362573099
"296","St. Michael Elementary School","August",6.36129032258065,5.97335243553009,13.3096774193548,10.2178362573099
"297","St. Michael Elementary School","September",6.63,5.97335243553009,10.8633333333333,10.2178362573099
"298","St. Michael Elementary School","October",8.98076923076923,5.97335243553009,5.59354838709677,10.2178362573099
"299","St. Michael Elementary School","November",8.52608695652174,5.97335243553009,6.53181818181818,10.2178362573099
"300","St. Michael Elementary School","December",7.65172413793103,5.97335243553009,8.90645161290323,10.2178362573099
